"Location","Male","Female"
"Alabama","0.48","0.52"
"Alaska","0.51","0.49"
"Arizona","0.49","0.51"
"Arkansas","0.49","0.51"
"California","0.50","0.50"
"Colorado","0.50","0.50"
"Connecticut","0.49","0.51"
"Delaware","0.48","0.52"
"Florida","0.48","0.52"
"Georgia","0.48","0.52"
"Hawaii","0.49","0.51"
"Idaho","0.50","0.50"
"Illinois","0.49","0.51"
"Indiana","0.49","0.51"
"Iowa","0.50","0.50"
"Kansas","0.50","0.50"
"Kentucky","0.49","0.51"
"Louisiana","0.48","0.52"
"Maine","0.49","0.51"
"Maryland","0.48","0.52"
"Massachusetts","0.49","0.51"
"Michigan","0.49","0.51"
"Minnesota","0.49","0.51"
"Mississippi","0.48","0.52"
"Missouri","0.48","0.52"
"Montana","0.50","0.50"
"Nebraska","0.49","0.51"
"Nevada","0.50","0.50"
"New Hampshire","0.49","0.51"
"New Jersey","0.49","0.51"
"New Mexico","0.49","0.51"
"New York","0.48","0.52"
"North Carolina","0.48","0.52"
"North Dakota","0.51","0.49"
"Ohio","0.49","0.51"
"Oklahoma","0.50","0.50"
"Oregon","0.50","0.50"
"Pennsylvania","0.49","0.51"
"Rhode Island","0.49","0.51"
"South Carolina","0.48","0.52"
"South Dakota","0.50","0.50"
"Tennessee","0.49","0.51"
"Texas","0.49","0.51"
"Utah","0.50","0.50"
"Vermont","0.50","0.50"
"Virginia","0.48","0.52"
"Washington","0.50","0.50"
"West Virginia","0.50","0.50"
"Wisconsin","0.50","0.50"
"Wyoming","0.50","0.50"
